Component,Quantity Per PCB,References,Value,MPN1,MPN2,Footprint,Population
1,1,C1,1 uF,C0805C105K4RACTU,-,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
2,4,C2 C3 C4 C5,10 uF,GRM21BC81C106ME15L,-,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
3,8,D1 D2 D3 D4 D5 D6 D7 D8,LED,LTE-4206,-,LED_D5.0mm,
4,1,D11,LED_Dual_AACC,APB3025ESGC-F01,-,LED_Cree-PLCC4_3.2x2.8mm_CCW,
5,3,D9 D10 D12,MBR120,MBR120VLSFT1G,-,D_SOD-123F,
6,1,J5,Barrel_Jack_Switch,163-179PH-EX,-,BarrelJack_Horizontal,
7,1,J6,USB_B_Micro,105017-0001,-,USB_Micro-B_Molex-105017-0001,
8,4,Q1 Q2 Q3 Q4,2N7002,2N7002-7-F,-,SOT-23,
9,4,R1 R2 R3 R4,27,RC0805FR-0727RL,-,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10,2,R5 R6,1K,RC0805FR-071KL,-,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
11,1,R7,10K,RC0805FR-0710KL,-,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
12,1,SW2,BOOT,KMR221GLFS,-,SW_Push_1P1T_NO_CK_KMR2,
13,1,SW1,RESET,KMR221GLFS,-,SW_Push_1P1T_NO_CK_KMR2,
14,1,U4,AP2112K-3.3,AP2112K-3.3TRG1,-,SOT-23-5,
15,1,U3,ESP32-WROOM-32D,ESP32-WROOM-32D,-,ESP32-WROOM-32,
16,2,U1 U2,TSOP382xx,TSOP38238 TSOP38256,-,Vishay_MINICAST-3Pin,
